,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.neighborhood,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.crossStreet,venue.delivery.id,venue.delivery.url,venue.delivery.provider.name,venue.delivery.provider.icon.prefix,venue.delivery.provider.icon.sizes,venue.delivery.provider.icon.name,venue.venuePage.id
20,e-0-4ad79413f964a520610c21e3-20,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ad79413f964a520610c21e3,Kula Yoga Project,28 Warren St,40.714342290158086,-74.00809356840004,"[{'label': 'display', 'lat': 40.714342290158086, 'lng': -74.00809356840004}, {'label': 'entrance', 'lat': 40.714285, 'lng': -74.008001}]",251,10007,US,,New York,NY,United States,"['28 Warren St (Church St)', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d102941735', 'name': 'Yoga Studio', 'pluralName': 'Yoga Studios', 'shortName': 'Yoga Studio', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/gym_yogastudio_', 'suffix': '.png'}, 'primary': True}]",0,[],Church St,,,,,,,
21,e-0-5447e0b2498e49ee7c7b1dc0-21,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5447e0b2498e49ee7c7b1dc0,Da Claudio,21 Ann St,40.71082646010856,-74.0076387699966,"[{'label': 'display', 'lat': 40.71082646010856, 'lng': -74.0076387699966}, {'label': 'entrance', 'lat': 40.710803, 'lng': -74.007636}]",252,10038,US,,New York,NY,United States,"['21 Ann St (btwn Theatre Aly & Park Row)', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Theatre Aly & Park Row,302926,https://www.seamless.com/menu/da-claudio-ristorante-21-ann-st-new-york/302926?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=302926,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,
22,e-0-5c6f03f30802d4002c16884c-22,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5c6f03f30802d4002c16884c,Joe’s Pizza,124 Fulton St,40.710178,-74.007769,"[{'label': 'entrance', 'lat': 40.710123, 'lng': -74.007769}, {'label': 'display', 'lat': 40.710178, 'lng': -74.007769}]",320,10038,US,,New York,NY,United States,"['124 Fulton St (at Nassau St)', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d1ca941735', 'name': 'Pizza Place', 'pluralName': 'Pizza Places', 'shortName': 'Pizza', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}, 'primary': True}]",0,[],at Nassau St,1090397,https://www.seamless.com/menu/joes-pizza-124-fulton-st-new-york/1090397?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1090397,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,
23,e-0-57dc7ea2498e2a830309c81c-23,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",57dc7ea2498e2a830309c81c,Temple Court,5 Beekman St,40.7114909233789,-74.00683195829815,"[{'label': 'display', 'lat': 40.7114909233789, 'lng': -74.00683195829815}]",154,10038,US,Financial District,New York,NY,United States,"['5 Beekman St (Beekman)', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",0,[],Beekman,2073573,https://www.seamless.com/menu/temple-court-5-beekman-street-new-york/2073573?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=2073573,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,
24,e-0-4b311e89f964a520890025e3-24,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b311e89f964a520890025e3,Sophie's Cuban Cuisine,96 Chambers St,40.71480295894467,-74.00765642063459,"[{'label': 'display', 'lat': 40.71480295894467, 'lng': -74.00765642063459}]",269,10007,US,,New York,NY,United States,"['96 Chambers St', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d154941735', 'name': 'Cuban Restaurant', 'pluralName': 'Cuban Restaurants', 'shortName': 'Cuban', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cuban_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,
25,e-0-5787b68e498efcabbebba4f8-25,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5787b68e498efcabbebba4f8,Shake Shack,200 Broadway,40.71070286896417,-74.00902390480042,"[{'label': 'display', 'lat': 40.71070286896417, 'lng': -74.00902390480042}]",339,10038,US,,New York,NY,United States,"['200 Broadway (at Fulton St)', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d16c941735', 'name': 'Burger Joint', 'pluralName': 'Burger Joints', 'shortName': 'Burgers', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}, 'primary': True}]",0,[],at Fulton St,1195030,https://www.seamless.com/menu/shake-shack-200-broadway-spc-new-york/1195030?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1195030,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,
26,e-0-4af5d65ff964a52091fd21e3-26,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4af5d65ff964a52091fd21e3,Korin,57 Warren St,40.71482437714839,-74.00940425461492,"[{'label': 'display', 'lat': 40.71482437714839, 'lng': -74.00940425461492}, {'label': 'entrance', 'lat': 40.714727, 'lng': -74.009399}]",369,10007,US,Tribeca,New York,NY,United States,"['57 Warren St (Church St)', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d1f8941735', 'name': 'Furniture / Home Store', 'pluralName': 'Furniture / Home Stores', 'shortName': 'Furniture / Home', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/furniture_', 'suffix': '.png'}, 'primary': True}]",0,[],Church St,,,,,,,33104775
27,e-0-50ba9119e4b071a4bae6dc10-27,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",50ba9119e4b071a4bae6dc10,Nish Nūsh,88 Reade St,40.71553710116416,-74.00772452925565,"[{'label': 'display', 'lat': 40.71553710116416, 'lng': -74.00772452925565}, {'label': 'entrance', 'lat': 40.715615, 'lng': -74.00773}]",344,10013,US,,New York,NY,United States,"['88 Reade St (at Church St)', 'New York, NY 10013', 'United States']","[{'id': '4bf58dd8d48988d10b941735', 'name': 'Falafel Restaurant', 'pluralName': 'Falafel Restaurants', 'shortName': 'Falafel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/falafel_', 'suffix': '.png'}, 'primary': True}]",0,[],at Church St,,,,,,,93083181
28,e-0-4a6e331af964a52031d41fe3-28,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4a6e331af964a52031d41fe3,Equinox Tribeca,54 Murray St,40.71409860726041,-74.0096857179283,"[{'label': 'display', 'lat': 40.71409860726041, 'lng': -74.0096857179283}]",345,10007,US,,New York,NY,United States,"['54 Murray St (at W Broadway)', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d176941735', 'name': 'Gym', 'pluralName': 'Gyms', 'shortName': 'Gym', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}, 'primary': True}]",0,[],at W Broadway,,,,,,,
29,e-0-5421eb06498e1b6b9c1bfd9c-29,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5421eb06498e1b6b9c1bfd9c,Gran Morsi,22 Warren St,40.714246192274395,-74.00792514672226,"[{'label': 'display', 'lat': 40.714246192274395, 'lng': -74.00792514672226}]",233,10007,US,,New York,NY,United States,"['22 Warren St (Church St)', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",0,[],Church St,301408,https://www.seamless.com/menu/gran-morsi-22-warren-st-new-york/301408?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=301408,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,112497479
